sample_idx,has_hemorrhage,iou_hemorrhage,iou_background,mean_iou,true_positives,false_positives,false_negatives,true_negatives,sensitivity,specificity,precision,recall,dice
0,True,0.0,0.9958,0.4979,0,0,278,65258,0.0,1.0,N/A,0.0,0.0
1,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
2,True,0.8649,0.9991,0.932,384,2,58,65092,0.8688,1.0,0.9948,0.8688,0.9275
3,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
4,True,0.0,0.9981,0.4991,0,0,123,65413,0.0,1.0,N/A,0.0,0.0
5,True,0.0,0.9969,0.4984,0,0,206,65330,0.0,1.0,N/A,0.0,0.0
6,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
7,True,0.0,0.9917,0.4958,0,0,547,64989,0.0,1.0,N/A,0.0,0.0
8,True,0.4807,0.9955,0.7381,274,257,39,64966,0.8754,0.9961,0.516,0.8754,0.6493
9,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
10,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
11,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
12,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
13,True,0.8798,0.9991,0.9395,410,45,11,65070,0.9739,0.9993,0.9011,0.9739,0.9361
14,True,0.0068,0.9911,0.499,4,0,581,64951,0.0068,1.0,1.0,0.0068,0.0136
15,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
16,True,0.2727,0.9944,0.6336,138,206,162,65030,0.46,0.9968,0.4012,0.46,0.4286
17,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
18,True,0.1442,0.9973,0.5708,30,79,99,65328,0.2326,0.9988,0.2752,0.2326,0.2521
19,True,0.3767,0.9876,0.6822,486,13,791,64246,0.3806,0.9998,0.9739,0.3806,0.5473
20,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
21,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
22,True,0.1283,0.996,0.5621,39,7,258,65232,0.1313,0.9999,0.8478,0.1313,0.2274
23,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
24,True,0.7812,0.9988,0.89,282,6,73,65175,0.7944,0.9999,0.9792,0.7944,0.8771
25,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
26,True,0.0,0.9941,0.497,0,119,268,65149,0.0,0.9982,0.0,0.0,0.0
27,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
28,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
29,True,0.75,0.9947,0.8724,1023,102,239,64172,0.8106,0.9984,0.9093,0.8106,0.8571
30,True,0.1807,0.99,0.5853,144,265,388,64739,0.2707,0.9959,0.3521,0.2707,0.3061
31,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
32,False,0.0,0.9977,0.4989,0,150,0,65386,N/A,0.9977,0.0,N/A,0.0
33,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
34,True,0.6897,0.9949,0.8423,729,254,74,64479,0.9078,0.9961,0.7416,0.9078,0.8163
35,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
36,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
37,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
38,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
39,False,0.0,0.9996,0.4998,0,23,0,65513,N/A,0.9996,0.0,N/A,0.0
40,False,0.0,0.9997,0.4998,0,20,0,65516,N/A,0.9997,0.0,N/A,0.0
41,True,0.1834,0.9858,0.5846,208,925,1,64402,0.9952,0.9858,0.1836,0.9952,0.31
42,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
43,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
44,False,0.0,0.9999,0.5,0,5,0,65531,N/A,0.9999,0.0,N/A,0.0
45,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
46,True,0.3951,0.9857,0.6904,608,119,812,63997,0.4282,0.9981,0.8363,0.4282,0.5664
47,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
48,True,0.7016,0.9968,0.8492,496,24,187,64829,0.7262,0.9996,0.9538,0.7262,0.8246
49,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
50,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
51,True,0.0,0.989,0.4945,0,0,723,64813,0.0,1.0,N/A,0.0,0.0
52,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
53,True,0.8636,0.9994,0.9315,247,19,20,65250,0.9251,0.9997,0.9286,0.9251,0.9268
54,True,0.8817,0.9993,0.9405,343,10,36,65147,0.905,0.9998,0.9717,0.905,0.9372
55,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
56,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
57,True,0.5333,0.9926,0.763,552,19,464,64501,0.5433,0.9997,0.9667,0.5433,0.6957
58,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
59,True,0.7445,0.9982,0.8714,341,72,45,65078,0.8834,0.9989,0.8257,0.8834,0.8536
60,True,0.4765,0.9968,0.7366,193,5,207,65131,0.4825,0.9999,0.9747,0.4825,0.6455
61,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
62,True,0.7,0.9989,0.8494,175,74,1,65286,0.9943,0.9989,0.7028,0.9943,0.8235
63,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
64,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
65,True,0.8252,0.9996,0.9124,118,6,19,65393,0.8613,0.9999,0.9516,0.8613,0.9042
66,True,0.0113,0.9799,0.4956,15,0,1315,64206,0.0113,1.0,1.0,0.0113,0.0223
67,True,0.0176,0.9957,0.5067,5,0,279,65252,0.0176,1.0,1.0,0.0176,0.0346
68,False,0.0,0.9999,0.5,0,6,0,65530,N/A,0.9999,0.0,N/A,0.0
69,True,0.8335,0.9959,0.9147,1307,119,142,63968,0.902,0.9981,0.9165,0.902,0.9092
70,True,0.4934,0.9947,0.7441,338,18,329,64851,0.5067,0.9997,0.9494,0.5067,0.6608
71,True,0.0,0.9906,0.4953,0,0,617,64919,0.0,1.0,N/A,0.0,0.0
72,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
73,True,0.1484,0.9893,0.5689,122,101,599,64714,0.1692,0.9984,0.5471,0.1692,0.2585
74,True,0.9358,0.9989,0.9673,1020,14,56,64446,0.948,0.9998,0.9865,0.948,0.9668
75,True,0.2337,0.9969,0.6153,61,96,104,65275,0.3697,0.9985,0.3885,0.3697,0.3789
76,True,0.0,0.9946,0.4973,0,18,339,65179,0.0,0.9997,0.0,0.0,0.0
77,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
78,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
79,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
80,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
81,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
82,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
83,False,0.0,0.9763,0.4881,0,1556,0,63980,N/A,0.9763,0.0,N/A,0.0
84,False,N/A,1.0,1.0,0,0,0,65536,N/A,1.0,N/A,N/A,N/A
